"Hash","Message","Hashes of parents","Is a merge commit?","List of modified files"
"71159bdcaa0e3e165fc0443b7d872d407044aa1e","Fix Pinboard JSON duplicate timestamps error

If the JSON exported by Pinboard contains duplicate timestamps, Python
returns a TypeError exception:

`TypeError: argument of type 'float' is not iterable`

This is because `time.mktime()` returns a floating point number.
Encasing `time.mktime()` in `str()` fixes the data type not being
iterable.

`time.mktime()` has also been encased in `int()` to remove the
unnecessary decimal value (`.0`) that gets returned for each time value,
and to keep the script consistent with the other export functions.","2b0e0f746efcc7b1cbfccaf98eafd2c4b6c6155a","False","archive.py"
"9f5fe726ddec062e6cee1a49a3962fb73cf61fc6","Merge pull request #30 from bardisty/fix-pinboard-json-timestamps-error

Fix Pinboard JSON duplicate timestamps error","47ece9dc5aa00d62fd48bf8c285ac580986ad48b;17cc60d38cb48a7085c44533b0b069ddc0c92eae","True","archive.py;examples/pinboard.json;README.md"
"263f71862a1791e94b29a37289f1f02c4155e2f0","wget images too, print stderr on fail","1431cc3290bd64f704764779fc84ef7eba97b99a","False","archive.py"
"fa8a7bde8083fef34190ab6f27e7980c778b1fe7","more granular errors","263f71862a1791e94b29a37289f1f02c4155e2f0","False","archive.py"
"72d6eb9e1e8abc192f0213e0c3f24801c1fad742","add TIMEOUT and FETCH_WGET_IMAGES options, fix chmod dir","555583b20b26da5eb8c26fe0e55e76fe7f909c58","False","archive.py"
"0551e5b9e0c4d996f70a06a5e7b7d6445941a2a3","fix archive.org chmod and wget error msg","72d6eb9e1e8abc192f0213e0c3f24801c1fad742","False","archive.py"
"e0f702bccdc8f7f98d737f7a4b3c9cc2239c2f01","always show cmd that failed for error messages","432d5c2dbcbb92d6a8aaba6579dfa789cf7863de","False","archive.py"
"d59bdbc86a971fc75024d93575ac9f8b1a0ca740","fix archive urls not pointing to .html wget versions!!","e0f702bccdc8f7f98d737f7a4b3c9cc2239c2f01","False","archive.py;examples/firefox_export.html"
"f0c7a6f55804b85c73bf33c401f83bc342c554f1","fix archive url calculation for urls ending in slash","747676dddd52b053fcd27dcba946babea48ba2ec","False","archive.py"
"59dbf725a6eab30f2f562f9eabdfd28dfcc5418e","syntax error","f0c7a6f55804b85c73bf33c401f83bc342c554f1","False","archive.py"
"f33330ebbfe903233e74afa36f23ebd530ebf21c","fix pdf and screenshot links","7b72156afd0632cdc906428c8239c4415c6f295f","False","archive.py"
"881de8adbe670f4eb279e45980cab8a03bae66a1","minor url fixes and refactoring","0df2bfe4c81a74c01d8eec309890c5b5677d8888","False","examples/firefox_export.html;fetch.py;index.py;parse.py;templates/index.html;templates/index_row.html"
"02f711b8cbe64b578b26f0f283932f3aae2abfb3","fix CHROME_BINARY and TIMEOUT configs not being used","0d4ebe9418954cfcee67507949d77dd82639206a","False","fetch.py"
"ba8307c27eca53240f8095ab7df1045fdec47f0a","Quick Fix for Wrong Argument Splitting on wget

When setting the user agent, the resulting CLI arguments for wget where `['wget', '--timestamping', '--adjust-extension', '--no-parent', '--page-requisites', '--convert-links', '-', '-', 'u', 's', 'e', 'r', '-', 'a', 'g', 'e', 'n', 't', '=', '""', 'L', 'y', 'n', 'x', '""', 'https://example.org']`, with this fix it turns into `['wget', '--timestamping', '--adjust-extension', '--no-parent', '--page-requisites', '--convert-links', '--user-agent=""Lynx""', '', 'https://example.org']`","4bc3698ee313e5aead8286bf07db671a16f33f75","False","fetch.py"
"3d261c47346d9a7403d66799dadcc09c6940d340","Merge pull request #36 from tscs37/patch-1

Quick Fix for Wrong Argument Splitting on wget","4bc3698ee313e5aead8286bf07db671a16f33f75;ba8307c27eca53240f8095ab7df1045fdec47f0a","True","fetch.py"
"50a06f5e52225997c529d8695ef1e3c4ae8172f9","correct mistake about chrome headless sessions","ea1d3541b2172f79582889f7e510a29a12382e9a","False","README.md"
"5dcfa3e42ccc05b193cae132edacaa3bb954c645","README: clarify chrome/ium dependency,

Note that the chromium dependency is only required for screenshots and PDF output to work.
Users only wanting to copy the website using `wget` are not required to install it.
Fix Shaarli export link","1e0bb2c8542cb3b760a6ac402c5d2943b233b209","False","README.md"
"2d4a9c08df6e9e8c7532bb4462e3d606bb620c77","Merge pull request #37 from nodiscc/patch-1

README: clarify chrome/ium dependency,","1e0bb2c8542cb3b760a6ac402c5d2943b233b209;5dcfa3e42ccc05b193cae132edacaa3bb954c645","True","README.md"
"0a75dee583428c77fca4d8cc45a02eb7f4283886","Merge pull request #42 from nodiscc/patch-2

clarify TIMEOUT option purpose +  archive options","2d4a9c08df6e9e8c7532bb4462e3d606bb620c77;cb6fcf4a2fcd52f67feeaa17d76e39f7dc40a284","True","README.md"
"e6e3bfead181594d050e8ebd02e8c08572ec5635","ensure encoding check is case-insensitive

encoding will fail if it isn't 'UTF-8', resulting in encodings of 'utf-8' to fail, too... This normalizes it.","479999888457ed52dd1f6631931e0b5da459f39f","False","config.py"
"01149fa6ac7d464b982a3451c15d01ea6f45dbf5","Merge pull request #45 from klauern/patch-1

ensure encoding check is case-insensitive","479999888457ed52dd1f6631931e0b5da459f39f;6bc2be4c7085726007960709f5bae041e4439523","True","config.py"
"d74394fa45508b7ae2490d36931bee30eaa58833","encoding bugfixes","eb47155a1282f840c8fcc50f6e080feabc993f0d","False","archive_methods.py"
"3f3531ed4c298d730fcac86b3f92ca662e4e820c","fix timestamp uniquification","7e4ca8a6acd0351136dc12a644ae42bd63a53b01","False","links.py"
"318b9ae1db223867bdc45d95d3fb9212bf8161d9","finished manual link merging logic to fix folder conflicts","db26ab9aa90982e5d8d5dbfdcf634c538b51466e","False","links.py;util.py"
"734c99cfdb0cb7c6b449b700c564d61a0204171b","fix parser bailing out with IndexError","965130815d96d79fd7ba34c1177f8190a0745c2c","False","parse.py;util.py"
"f477224ae39f2da27467097b11111db2db8fad85","debugging","597a5f6997b77e511ca25ca19ebd65b554700502","False","archive_methods.py"
"c8068caff0fa4e1ff413b742414704a82dcb775e","debugging2","f477224ae39f2da27467097b11111db2db8fad85","False","archive_methods.py"
"cb0d6526d7b95a05d3d783f40e84203acd649484","fix infinite appending paths","c8068caff0fa4e1ff413b742414704a82dcb775e","False","archive_methods.py"
"d2b8be28dbac91e3c72ee9b47aae26345a213577","Fix usage of ARCHIVE_DIR if an exisiting archive is updated","eaaba8bb046dc95e5d98d7071896708ce8708235","False","util.py"
"30ce8c6a9dbd489fff8674ee80aa2c26fc8c0e45","Merge pull request #47 from m-rossi/fix_archive_dir

Fix usage of ARCHIVE_DIR if an exisiting archive is updated","915a5abf3814162f3c6a764814260ce8cb2735ea;d2b8be28dbac91e3c72ee9b47aae26345a213577","True","util.py;README.md"
"08591e8fbb0d5497bf622be9f3a946ba7c6e2b17","fix archive_org KeyError when running with it disabled","e84a9a86e6476c54c444857e85f9b5ab11bcf4e5","False","index.py"
"6eb1e231f99fa898863fb33a210914f5341c9b4d","fix chrome version parsing","08591e8fbb0d5497bf622be9f3a946ba7c6e2b17","False","util.py"
"f49f1b5aa07fa5036e8e5a7c1443b4fecfec1e45","Parse Medium RSS feeds

closes https://github.com/pirate/bookmark-archiver/issues/64","b5c6d34860d1303c696867de12750deac65eb757","False","parse.py"
"0012742d04d5ebb08aa77464e6ffae3be5499235","Treat ParseError as an indication that a parser doesn’t apply to the input file","f49f1b5aa07fa5036e8e5a7c1443b4fecfec1e45","False","parse.py"
"dc9445bc9fff6dc957f287e1adcafc6c45258363","fix chmod output for pdf","1b130e876bfb4a0a4c05947591cb63742ec80dce","False","archive_methods.py"
"f072c7e22a93570465cc0b1b9b0991a1586eaa7f","Treat AttributeError as an expected parse failure","5786658bac2d805ce654d6d4048867468d93e1c1","False","parse.py"
"1ea695d7b78c90f0a0cd7690d3fa410b0b8b63b3","Merge pull request #75 from cdzombak/attribute-error

Treat AttributeError as an acceptable parse failure","5786658bac2d805ce654d6d4048867468d93e1c1;f072c7e22a93570465cc0b1b9b0991a1586eaa7f","True","parse.py"
"542b1d14f6614f83b2f8eb7dc6b303034eb083fe","disable buggy cleanup_archive process for nowy","2cd11feaac6f4e34fdee2721eae6620573506354","False","archive.py;peekable.py"
"9ea61bf3649c6af7cc90913f6fd32c9e7d3a4d03","fix archive path appending bug","0099849df98f1ea2df6e284b704c7c6d9803b1db","False","archive_methods.py;config.py"
"b7cae4f72e01dfd5a9d96beb310fcc87b97fb618","fix wget_output_path urlencoding","64e6eb5f7b20e6426c1a37fd918bad8fd2adf4a4","False","archive_methods.py;index.py;util.py"
"8526906779382a6ece6d2a4a257b04393a480fd4","fix urlencoding of wget path","82fc49caeeca3e3eccc9d63e9c0b86f0a827ae7c","False","util.py"
"dbe4660da33c5f8537e443d85f05c47ab2a26624","fix urldecoding of titles","650380efce9e7681e18f09e5cfd0558d57a72108","False","index.py;links.py"
"b926b1affc9081d0cecdf8d2af032702c3b9e254","fix handling of wget file paths","dbe4660da33c5f8537e443d85f05c47ab2a26624","False","archive_methods.py;links.py;util.py"
"b3c93c43b2c4b556d7ae3933035352c5c937e2ce","fix archive.org content-location capitalization","b926b1affc9081d0cecdf8d2af032702c3b9e254","False","archive_methods.py"
"eef1e5e5970bd867f7191dc82a1e99432523d1f8","fix archive index scrolling sideways","b3c93c43b2c4b556d7ae3933035352c5c937e2ce","False","templates/index.html"
"595b632765f6f30d8272f96375f0575755b47181","fix resume cmd showing None in cli","eef1e5e5970bd867f7191dc82a1e99432523d1f8","False","archive_methods.py"
"a532d1154910577f7954897c874e052dda70e73f","fix archive.org header case parsing","31476fe21b40023e7e06869cc9967f47d60b7888","False","archive_methods.py"
"9abe4badf9bb7852c3c845098440a0a737d5d08e","fix pinboard example","b51568ed471f100d475af5a529d01d2f379c052d","False","examples/pinboard_export.json"
"48df81b216f9e64ab78ea1fda5bdcf72307895da","add dom preview to link index, fix responsiveness","91e7e0cd36b4dacadfd04d4712344aa6314f91a1","False","templates/index.html;templates/link_index.html;templates/link_index_fancy.html"
"a28790034526678109ae44ddf0e4df7920d06dc8","fix template locations","d0f2e693b3183aa3f0214b0a0fbc025281ee3f40","False","README.md;archiver/archive.py;archiver/config.py;archiver/index.py;archiver/util.py"
"c1c689cb94f69859d46ea085522b7c704dc83f20","log wget 404 and 403 errors","a28790034526678109ae44ddf0e4df7920d06dc8","False","archiver/archive_methods.py"
"d2d1b977feb7932669c99833a5dffe20985678a7","log wget 500 errors","c1c689cb94f69859d46ea085522b7c704dc83f20","False","archiver/archive_methods.py"
"e74227569efd203046cfbc37569e298619d26ed6","fix timestamp parsing edgecase","c90f4bfd5baa9a866b8877dc2dec349c7bf5289b","False","archiver/parse.py"
"5498822a9702e9c81943ef64fe32f5d38d78fc74","fix parsing of chrome and ff histories","9ec1f81bd57002732a18b57a3c2db49ba861f96d","False","archiver/parse.py"
"9c56848645768a9cd079fdcdd8eb58cda982ea48","fix deleting db temp files in browser export","755845c69aa8961d25c4b71960a8f8b58f9cd2f4","False","bin/export-browser-history"
"5c0128d959639092f8ad440ac54629b3c559913b","fix service reference","cd6bacb0313c3e5e66e81e8c6d808927db2bf5a8","False","README.md"
"0ee4f83e966e7527f92d4c797470316ae36fad51","fix reference to old service folder","a8447850cf53cc3db862bac88f217c42ab8d08f1","False","README.md"
"062d2ddc98df12c6578e671d1b3cb96cf41dc9ab","fix archive_url broken on first run","47c3d563b26e6fe67ecf286fe4a9ead8e178ef3c","False","archiver/util.py"
"9e0f66c27bace05f45451e68f0045ad74ebae82f","fix broken archive url","735f530516d5e9de76d9ce45ad7ab52f17ea214b","False","README.md"
"80c02bed5548b3429128cc699c2d462f51cd2df2","Merge pull request #88 from issmirnov/patch-1

Reformat gitingore into sections","9e0f66c27bace05f45451e68f0045ad74ebae82f;59e7ad316f520735e12bd412f938d1054e9bc1ef","True",".gitignore"
"ff10253cefe9cd7119a20e3b77fc40f2a6b82d36","fix user agent breaking all wgets","80c02bed5548b3429128cc699c2d462f51cd2df2","False","archiver/archive_methods.py"
"5450afd18b3f95ad848bcb5ea79f53b83bd507c0","fixes unstable sorting between consecutive runs","8a23358fc82f09853a3721d5f36ae4adac32b84b","False","archiver/links.py"
"d46caf604d415baac383d5d03471827cb22b00dc","Merge pull request #96 from fgtham/fix_issue_74

fix unstable sorting between consecutive runs","8a23358fc82f09853a3721d5f36ae4adac32b84b;5450afd18b3f95ad848bcb5ea79f53b83bd507c0","True","archiver/links.py"
"7ed4f8deedc71028de42f40deae1cf4111e46028","support a configurable output directory

Closes #94","ae7ed7be540875e8d78824b87490b4bb6d95d44b","False","README.md;archiver/config.py"
"eec01e211e567697c3ac54ef1ec77650b23181db","fix shaarli docu link in Readme","6dafd53007122cfb7219c157cfe95df6945fc767","False","README.md"
"bad3af86f9fa0c9788d4289811412b927c9a10f0","Merge pull request #100 from Strubbl/patch-2

fix shaarli docu link in Readme","6dafd53007122cfb7219c157cfe95df6945fc767;eec01e211e567697c3ac54ef1ec77650b23181db","True","README.md"
"0c8cfeac1f64452638f331af7e69d0a1d1bd7d7d","Merge pull request #98 from Strubbl/patch-1

Update setup-bookmark-archiver","bad3af86f9fa0c9788d4289811412b927c9a10f0;f2c2568ac77436408724d0c7b4edb65be2ef84a1","True","bin/setup-bookmark-archiver;README.md"
"b882db582856878b0ce9f94599f486273605de4a","Merge pull request #104 from nodh/fix_issue_103

Enable importing files from wallabag","0c8cfeac1f64452638f331af7e69d0a1d1bd7d7d;fbc90b427919b6ceb62a7408fb6e78901f54d97a","True","archiver/parse.py"
"46ad4fd163aadbaeda1949adf96098fd3e0b1603","fix python io encoding","6c6bdaa3d7fd627df48087b52a31c61092c0b123","False","archiver/config.py"
"8b850393dfab878bf1cd30ca258c6a4b323ddfd9","Fix archive_dot_org CMD

`curl -I {url}` returns 404","b1a47d775bc1da6b8d6a1585daa6545b143fef69","False","archiver/archive_methods.py"
"a59d609571b787ae4fc02c261cf52152e9aa820c","Fix archive_dot_org submit_url

It was removing functional query parameters. (e.g., https://news.ycombinator.com/item?id=18216459)","8b850393dfab878bf1cd30ca258c6a4b323ddfd9","False","archiver/archive_methods.py"
"bf6e8f03e4cf7a85279a731ebe94e924e6d1def8","Merge pull request #105 from flagello/fix-archive-dot-org

Fix archive_dot_org","b1a47d775bc1da6b8d6a1585daa6545b143fef69;a59d609571b787ae4fc02c261cf52152e9aa820c","True","archiver/archive_methods.py"
"69c007ce8536db173b4ba367236a811848464808","Optionally import only new links

When importing a huge list of links periodically (from a big dump of
links from a bookmark service for example) with a lot of broken links,
this links will always be rechecked. To skip this, the environment
variable ONLY_NEW can be used to only import new links and skip the rest
altogether. This partially fixes #95.","bf6e8f03e4cf7a85279a731ebe94e924e6d1def8","False","README.md;archiver/archive.py;archiver/config.py;archiver/links.py"
"157f1be0d06889f391139e05905663f964e4637c","fix typo in readme","75c062f33e1ef316120ef7bf0a57ffacf6e0f68a","False","README.md"
"b0ffc9c07631644ee91b874ecf1ac0dff1a48701","Add dummy favicon entry so FETCH_FAVICON='False' isn't failing","91d60364de2715f52042ced771513a0f93d7e344","False","archiver/links.py"
"03c1b0009c4b53eccc568ed939bfe1ef654a156f","Fix 'Too many open files' error.

Happened before after continuous archiving of few hundreds links.

Fix by:
* setting process object to `None` to trigger GC finalizer cleanup of pipe descriptors
* protecting against double cleanup","91d60364de2715f52042ced771513a0f93d7e344","False","archiver/util.py"
"c684eb045d05263cddb8b43c4836ac0475e01f85","Merge pull request #115 from karlicoss/fix-descriptor-leak

Fix 'Too many open files' error.","91d60364de2715f52042ced771513a0f93d7e344;03c1b0009c4b53eccc568ed939bfe1ef654a156f","True","archiver/util.py"
"1cbbf7204d329fe0972ef893e25ec378a90aa58e","Merge pull request #114 from karlicoss/fix-favicon

Add dummy favicon entry so FETCH_FAVICON='False' isn't failing","c684eb045d05263cddb8b43c4836ac0475e01f85;b0ffc9c07631644ee91b874ecf1ac0dff1a48701","True","archiver/links.py;archiver/util.py"
"c58659036b0afe36a02397563f63f0c42bc1b2fd","Basic integration test fixture and couple of tests","1cbbf7204d329fe0972ef893e25ec378a90aa58e","False","tests/tests.py"
"4cdadaae6d12d575ce143126a9da28546d53169d","Merge pull request #116 from karlicoss/tests

Basic integration test fixture and couple of tests","1cbbf7204d329fe0972ef893e25ec378a90aa58e;c58659036b0afe36a02397563f63f0c42bc1b2fd","True","tests/tests.py"
"208501e57617e1251215091a3fd44255501a48c4","fixes #61, fixes #40

The table has advanced features now. One can filter over all columns, sort all
columns asc/desc and paginate the table.
The state (filtered result, current page, sorting order and number of
entries shown) will be saved in localStorage so the user can open the
page in another window or tab and see the same output again.","4cdadaae6d12d575ce143126a9da28546d53169d","False","archiver/templates/index.html"
"7f8a150a2b8b7feb4c42a47aba4d81fc8f175fa4","README: fix donations link","4cdadaae6d12d575ce143126a9da28546d53169d","False","README.md"
"244596f9ad4560fa120a7c3dc6175650a1e02d48","Merge pull request #117 from FiloSottile/patch-2

README: fix donations link","4cdadaae6d12d575ce143126a9da28546d53169d;7f8a150a2b8b7feb4c42a47aba4d81fc8f175fa4","True","README.md"
"2d73d8884b380e414a8c357f499a72da31c1d207","fix the setup/archive symlinks","0b48fd376f5e45b2b37ed434b124300ea69c9243","False","archive;setup"
"483a3bef9e2b1a7b80611947a3be99b0cf4f9959","Merge pull request #125 from W1lkins/fix-symlinks

Fix the setup/archive symlinks","0b48fd376f5e45b2b37ed434b124300ea69c9243;9d900b902505b85c41b1acf3f072419a48609a6d","True","archive;bin/bookmark-archiver;bin/setup-bookmark-archiver;setup"
"92b68d6d77bbc15bc78434a8e08c9fdc9dc36207","Update issue templates","4af766a5aa8b0beefacfeef28d81c397b68dbc70","False",".github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/feature_request.md"
"9cb2eafefc50a2796eb9f33b6bc08060e5dd1ea0","fix coc email","3085a6a758467ac62fc78620a0404a6ff8a74b9c","False",".github/CODE_OF_CONDUCT.md"
"eb9357a952f6da9c8b77b04237781baeb884d70d","fix old executable paths","d5ab80e9f2b1a5e78fa301475b07a445b9720f51","False","README.md"
"2de183a98082fe88ce6cc5eda5c1ccf92a5b0400","fix archivebox links","57d42339a482540c55ffef70e78ad687049b2a19","False","bin/archivebox;bin/archivebox-purge"
"2903fead90bc3f5b4b34a64ee64dd0f49b313854","fix nginx example config to use new name","2de183a98082fe88ce6cc5eda5c1ccf92a5b0400","False","etc/nginx/conf.d/archivebox.conf"
"d35c6cf8b56f796148cd39a81a5fce2413f977d4","fix fetch page title default","67d103a2936e18d9cce9e94ec1ac4d56a627dc6b","False","archivebox/util.py"
"a15a331798febda954509b41d0abb4d78b9493ef","fix media download with longer timeout","c33f7ba91c924f8a9fc7138d305d77a13946efa7","False","archivebox/archive_methods.py;archivebox/config.py"
"b77476cb83742d479b2d63054a0d838e19a69fae","fix user agent quoting","33942d37cb8b919215af03bf8aafe5443445a063","False","archivebox/archive_methods.py"
"6189b1a8afb28022a54853b983f11aa9680d4320","fix invalid old config vars","b650c663a0b7cc35615459c3d72c3b2b59bdded4","False","archivebox/archive_methods.py;archivebox/util.py"
"ea905d68bb2b2266731f0571399aef85594cb58e","fix etc nginx and Docker config","d24724ed7973425ce806a7dca479a7f0b98b278f","False",".dockerignore;Dockerfile;docker-compose.yml;etc/nginx/conf.d/archivebox.conf;etc/nginx/nginx.conf"
"e620722bb90e15863a3f0fd6c8c4ddbbae6e58a9","fix timeouts hanging the progressbar","7ea36c4adb1508e134caedcc5c86bb03a129f87c","False","archivebox/util.py"
"ce07a6c738acf498871033fcefec7abfe07e20bc","patch subprocess.run to have better timeout handling","e620722bb90e15863a3f0fd6c8c4ddbbae6e58a9","False","archivebox/archive_methods.py;archivebox/util.py"
"071b39b94461686538b52ce0d5c00f5e4974531d","nicer error formats","de6eb649e09112d3c0a3ec7d9304ecaf6a38c9aa","False","archivebox/archive_methods.py"
"2c76f29b78136ce3eabee9036ceda39e54a83e56","better issue template","74e925da4b78afc370cbaba786170e454134dd0c","False",".github/ISSUE_TEMPLATE/bug_report.md"
"ff125d990c3c7026e5bf151eac074c15ede54928","fix order of parsers not enforced on python 3.5","e60070dbb2c36366a6751c0848bec9d93480e00b","False","archivebox/parse.py"
"b53251fe45f442e4274e0aa037ecc154bc17693b","fix parsers","6a46e54282c09bc6e1002f5d028d73250f153112","False","archivebox/parse.py"
"ad7038e031bd2280d84fb422ac29b69bcb56fdf8","catch json parse errors in link archiving","c37941efd162569c79e566afabd6f250408e8d26","False","archivebox/archive_methods.py"
"ae0c20dc7673ef1322578a1a68133889207c4c2c","fix flake8 errors","eeb89ae2cc1c9f9fa72962b31e5059fdc150f7f1","False","archivebox/parse.py;archivebox/peekable.py"
"901666bae682b21a3692e27f7820afd750e4d695","dont show wget errors unless all files failed to download","3ac0efb6195757b46474eddb934c64117fc2f482","False","archivebox/archive_methods.py"
"d8c7c98c010f20f3613f51b35007b7dea9e92dcd","fix exception format string","705abda1a52ec0cb904b125bc7982e2cbdfcdbc9","False","archivebox/archive_methods.py"
"4e5b466bb2420a9d38cf43fe6db902b0f70b7d38","fix broken wget user agents","d8c7c98c010f20f3613f51b35007b7dea9e92dcd","False","archivebox/archive_methods.py"
"794c043fa436938792e0eff8fbdaf0785b2386d8","fix chrome data dir in wrong folder","9f5441c4f3c1d6e75e9a0fb8ebd118c3e667fabc","False","archivebox/archive_methods.py"
"265e1bd8305afd9b9b541ca53948ba4118ea50ff","fix parsing links from stdin with whitespace","794c043fa436938792e0eff8fbdaf0785b2386d8","False","archivebox/parse.py"
"756f31a50bbaacaca71206f9d88726a17b0038f0","hide common youtubedl failures","2b45792ad8a502ee9ca566008553190e256bb975","False","archivebox/archive_methods.py"
"fb00f1f3369c8491fa99c1ad80ddd2e371ebccac","fix flickering progress bars","bc6de29a5a17048f3fa07ce1dc32bce6600adccd","False","archivebox/util.py"
"ce257949b4468c77412c026b5987c3f37bad6443","fix double parsing by accident","1ca27a60b2a97d8fb34de2ba1a01d87f18095a48","False","archivebox/archive.py"
"33ba29ea90ecb63b1d5268e0cbd70f7808b3a852","add optional parser error message","5441abdcc23e06a0102e526e7a20d8c13a5c3a7e","False","archivebox/parse.py"
"74b99fe9eb68cd57e64648690a2e158952b6b18e","fix import_path None error","e6d5cd44327a93394e8ef892452ca526acac22cd","False","archivebox/archive.py"
"bb5879a4f73b1b5d5afcdbec27c5f1dc7a79567a","fix some parser errors not being caught by bail out process","74b99fe9eb68cd57e64648690a2e158952b6b18e","False","archivebox/parse.py"
"1b36d5b29c048414a00c8913a42ef0ab99b6e669","fix pocket timestamps defaulting to now","2c9aad559ddb55f752b8b4050684cf30b35ed56b","False","archivebox/parse.py"
"3571ef24e42ccb212c3db43c14dc6178a43381d0","fix logic for ONLY_NEW accidentally replacing all links","1b36d5b29c048414a00c8913a42ef0ab99b6e669","False","archivebox/archive.py;archivebox/links.py"
"eff010097161d787611f1ac530749ecebf080c6f","fix RSS parser bailing out when lines have whitespace before tags","3571ef24e42ccb212c3db43c14dc6178a43381d0","False","archivebox/archive.py;archivebox/parse.py"
"935dcac0c75833a888cba7e57d9a7c103e186d7d","fix title showing up as None in some UI spots","eff010097161d787611f1ac530749ecebf080c6f","False","archivebox/index.py;archivebox/util.py"
"c834b2ef133a0fb3b6a9a44f30f5df1836082456","Don't run ls if using non-default directory

Previously, an error message would appear if using a non-default directory because it would run `ls` on the non-existent default directory:

```bash
ls: cannot access '/home/nicolas/Library/Application Support/Firefox/Profiles/*.default/places.sqlite': No such file or directory
```","935dcac0c75833a888cba7e57d9a7c103e186d7d","False","bin/archivebox-export-browser-history"
"2a3fbfd2a0ed4cb2738fe211cf49b83c8a166075","Merge pull request #147 from nicolaschan/patch-1

Don't run ls if using non-default directory","935dcac0c75833a888cba7e57d9a7c103e186d7d;c834b2ef133a0fb3b6a9a44f30f5df1836082456","True","bin/archivebox-export-browser-history"
"c95632883eca8a32f873f6c8a3189a5f43efc64d","fix without_hash to without_fragment","366e880a54918a10b7934f37a345a49d10b36ec4","False","archivebox/archive_methods.py"
"3eaa76267ea1e8b2dccbf702beed06e1e430309c","fix keyerror domain bug","0e2928e758d93767ef60b7610c2df44e4df56ca9","False","archivebox/archive_methods.py"
"f6ff2e1a781a7b7d66f2f038d4c942be00f95661","Update bug_report.md","14e66a6909e6276319482f242724d30f88c3c3ba","False",".github/ISSUE_TEMPLATE/bug_report.md"
"5fbfa195f62be28d9bc57393e894595c77b9b84f","Update bug_report.md","f6ff2e1a781a7b7d66f2f038d4c942be00f95661","False",".github/ISSUE_TEMPLATE/bug_report.md"
